# Mini-Circuits,Lab.
# Model:ZVA-183+
# Mini-Circuits,Lab.,Run:,EXPRM,,Date,Code:,1030;
# Fixture:,N/R;,Vcc=+12V,,Icc=330mA;
# Connection:,Port,1,to,Input,,Port,2,to,Output;
# Mini-Circuits,Lab.,Tested,with,PNA-X,Network,Analyzer,AG,N5242A,,S/N,71404,,Cal.Due.:,05/26/2011.
DG(dB)=0
freq(Hz)	gain(dB)	phase(rad)	directivity(dB)	vsvr(:1)	nf(dB)	op1db(dBm)	freq_1(Hz)	oip3(dBm)	freq_2(Hz)
190000000.0	13.9007	2.6385870178357753	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
200000000.0	14.94629	2.5495368287405205	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
210000000.0	15.90992	2.4610329277011402	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
220000000.0	16.80073	2.3723352951147887	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
230000000.0	17.62454	2.2841979132183265	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
240000000.0	18.38439	2.1964794103423437	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
250000000.0	19.08535	2.109862210224369	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
260000000.0	19.72331	2.024613348239958	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
270000000.0	20.3184	1.9408846680340341	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
280000000.0	20.86759	1.8585731951807296	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
290000000.0	21.37125	1.776919711455427	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
300000000.0	21.83282	1.6978184226953155	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
310000000.0	22.25605	1.6200057105219516	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
320000000.0	22.64753	1.5440875532516274	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
330000000.0	23.0046	1.4693000202707451	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
340000000.0	23.33475	1.397099588840094	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
350000000.0	23.63886	1.326413056002623	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
360000000.0	23.91422	1.257339556459845	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
370000000.0	24.16829	1.1908967916985982	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
380000000.0	24.40537	1.1253991227273061	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
390000000.0	24.62333	1.0617396345242145	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
400000000.0	24.82835	0.9999949470434859	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
410000000.0	25.0161	0.9394847309426929	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
420000000.0	25.18831	0.8805491508930491	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
430000000.0	25.34761	0.8234660633114723	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
440000000.0	25.499	0.767265763265554	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
450000000.0	25.63653	0.712555974400839	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
460000000.0	25.76586	0.6590590148333347	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
470000000.0	25.88813	0.6069530826796701	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
480000000.0	26.00448	0.5558357050143349	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
490000000.0	26.11024	0.5053583395857061	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
500000000.0	26.2157	0.45590687869139956	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
510000000.0	26.3173	0.40686050871648094	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
520000000.0	26.41122	0.35878157474594274	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
530000000.0	26.4998	0.3107539534554132	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
540000000.0	26.59039	0.26299109861241116	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
550000000.0	26.67274	0.21427197787224145	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
560000000.0	26.74266	0.16413990838282722	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
570000000.0	26.78567	0.11185949566384061	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
580000000.0	26.77058	0.058346548880388156	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
590000000.0	26.68178	0.008931499044936727	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
600000000.0	26.54433	-0.028237629608138696	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
610000000.0	26.45723	-0.05478834613434731	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
620000000.0	26.439	-0.0777627433968794	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
630000000.0	26.47491	-0.10092457156778314	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
640000000.0	26.55233	-0.12608516825136332	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
650000000.0	26.65277	-0.15597169767032365	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
660000000.0	26.74065	-0.18961361713421515	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
670000000.0	26.8062	-0.22464289882051697	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
680000000.0	26.8609	-0.2586883384074695	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
690000000.0	26.90843	-0.2921911551299771	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
700000000.0	26.95598	-0.3257623887591628	49.93	1.5	1.74	4.84	700000000.0	36.01	700000000.0
710000000.0	26.99902	-0.35881229254077784	49.9815	1.4965	1.732	4.832	710000000.0	36.0785	710000000.0
720000000.0	27.04002	-0.3916438556329684	50.033	1.4929999999999999	1.724	4.824	720000000.0	36.147	720000000.0
730000000.0	27.08095	-0.42439094478936235	50.0845	1.4895	1.716	4.816	730000000.0	36.2155	730000000.0
740000000.0	27.11657	-0.45665562494050516	50.136	1.486	1.708	4.808	740000000.0	36.284	740000000.0
750000000.0	27.14941	-0.4888471757959894	50.1875	1.4825	1.7	4.8	750000000.0	36.3525	750000000.0
760000000.0	27.18172	-0.520553350586494	50.239	1.479	1.692	4.792	760000000.0	36.421	760000000.0
770000000.0	27.21103	-0.5520849924517991	50.2905	1.4755	1.684	4.784	770000000.0	36.4895	770000000.0
780000000.0	27.23902	-0.5832911304116073	50.342	1.472	1.676	4.776	780000000.0	36.558	780000000.0
790000000.0	27.2647	-0.6141963736083718	50.3935	1.4685	1.668	4.768	790000000.0	36.6265	790000000.0
800000000.0	27.28968	-0.6450445445385958	50.445	1.4649999999999999	1.6600000000000001	4.76	800000000.0	36.695	800000000.0
810000000.0	27.31465	-0.6752834210269489	50.4965	1.4615	1.6520000000000001	4.752	810000000.0	36.7635	810000000.0
820000000.0	27.33705	-0.7052468845593372	50.548	1.458	1.6440000000000001	4.744	820000000.0	36.832	820000000.0
830000000.0	27.35967	-0.7350785757331998	50.5995	1.4545	1.6360000000000001	4.736	830000000.0	36.9005	830000000.0
840000000.0	27.37983	-0.7645776071516324	50.651	1.451	1.6280000000000001	4.728	840000000.0	36.969	840000000.0
850000000.0	27.40111	-0.7938954733937079	50.7025	1.4475	1.62	4.72	850000000.0	37.0375	850000000.0
